billing_date,item,amount
2022-01-09,REVENUE FOR A_000,288
2022-01-09,REVENUE FOR A_001,288
2022-01-09,REVENUE FOR A_002,288
2022-01-09,REVENUE FOR A_003,288
2022-01-09,REVENUE FOR A_004,288
2022-01-09,REVENUE FOR A_005,288
2022-01-09,REVENUE FOR A_006,288
2022-01-09,REVENUE FOR A_007,288
2022-01-09,REVENUE FOR A_008,288
2022-01-09,REVENUE FOR A_009,288
2022-01-09,REVENUE FOR A_010,288
2022-01-09,REVENUE FOR A_011,288
2022-01-09,REVENUE FOR A_012,288
2022-01-09,REVENUE FOR A_013,288
2022-01-09,REVENUE FOR A_014,288
2022-01-09,REVENUE FOR A_015,288
2022-01-09,TECH_CALLS,0
2022-01-09,TECH_INSPECT,0
2022-01-09,TECH_REPAIR,0
2022-01-16,REVENUE FOR A_000,288
2022-01-16,REVENUE FOR A_001,288
2022-01-16,REVENUE FOR A_002,288
2022-01-16,REVENUE FOR A_003,288
2022-01-16,REVENUE FOR A_004,288
2022-01-16,REVENUE FOR A_005,74
2022-01-16,REVENUE FOR A_006,288
2022-01-16,REVENUE FOR A_007,288
2022-01-16,REVENUE FOR A_008,288
2022-01-16,REVENUE FOR A_009,288
2022-01-16,REVENUE FOR A_010,288
2022-01-16,REVENUE FOR A_011,288
2022-01-16,REVENUE FOR A_012,288
2022-01-16,REVENUE FOR A_013,288
2022-01-16,REVENUE FOR A_014,288
2022-01-16,REVENUE FOR A_015,288
2022-01-16,TECH_CALLS,0
2022-01-16,TECH_INSPECT,0
2022-01-16,TECH_REPAIR,0
2022-01-23,REVENUE FOR A_000,288
2022-01-23,REVENUE FOR A_001,288
2022-01-23,REVENUE FOR A_002,288
2022-01-23,REVENUE FOR A_003,288
2022-01-23,REVENUE FOR A_004,216
2022-01-23,REVENUE FOR A_005,0
2022-01-23,REVENUE FOR A_006,288
2022-01-23,REVENUE FOR A_007,288
2022-01-23,REVENUE FOR A_008,288
2022-01-23,REVENUE FOR A_009,288
2022-01-23,REVENUE FOR A_010,288
2022-01-23,REVENUE FOR A_011,288
2022-01-23,REVENUE FOR A_012,288
2022-01-23,REVENUE FOR A_013,288
2022-01-23,REVENUE FOR A_014,288
2022-01-23,REVENUE FOR A_015,288
