time,machine_id,event
2022-01-03T08:10:00,B_000,LOUD NOISE
2022-01-03T08:10:00,B_004,LOUD NOISE
2022-01-03T08:30:00,B_004,LOUD NOISE
2022-01-03T09:10:00,B_003,LOUD NOISE
2022-01-03T09:10:00,B_013,LOUD NOISE
2022-01-03T09:30:00,B_005,LOUD NOISE
2022-01-03T09:50:00,B_004,LOUD NOISE
2022-01-03T09:50:00,B_008,LOUD NOISE
2022-01-03T10:00:00,B_014,LOUD NOISE
2022-01-03T10:30:00,B_006,LOUD NOISE
2022-01-03T10:30:00,B_013,LOUD NOISE
2022-01-03T10:50:00,B_003,LOUD NOISE
2022-01-03T11:00:00,B_004,LOUD NOISE
2022-01-03T11:10:00,B_004,LOUD NOISE
2022-01-03T11:20:00,B_004,LOUD NOISE
2022-01-03T11:40:00,B_014,LOUD NOISE
2022-01-03T11:50:00,B_010,LOUD NOISE
2022-01-03T12:00:00,B_009,LOUD NOISE
2022-01-03T12:10:00,B_003,LOUD NOISE
2022-01-03T12:10:00,B_004,LOUD NOISE
2022-01-03T12:30:00,B_005,LOUD NOISE
2022-01-03T12:40:00,B_005,LOUD NOISE
2022-01-03T12:40:00,B_009,LOUD NOISE
2022-01-03T13:20:00,B_004,LOUD NOISE
2022-01-03T13:30:00,B_009,LOUD NOISE
2022-01-03T13:30:00,B_010,LOUD NOISE
2022-01-03T13:40:00,B_005,LOUD NOISE
2022-01-03T13:50:00,B_013,LOUD NOISE
2022-01-03T14:10:00,B_013,LOUD NOISE
2022-01-03T14:20:00,B_003,LOUD NOISE
2022-01-03T14:20:00,B_005,LOUD NOISE
2022-01-03T14:20:00,B_011,LOUD NOISE
2022-01-03T14:50:00,B_013,LOUD NOISE
2022-01-03T15:00:00,B_009,LOUD NOISE
2022-01-03T15:20:00,B_004,LOUD NOISE
2022-01-03T15:40:00,B_003,LOUD NOISE
2022-01-04T08:20:00,B_003,LOUD NOISE
2022-01-04T08:20:00,B_005,LOUD NOISE
