billing_date,item,amount
2022-01-09,REVENUE FOR C_000,240
2022-01-09,REVENUE FOR C_001,240
2022-01-09,REVENUE FOR C_002,240
2022-01-09,REVENUE FOR C_003,240
2022-01-09,REVENUE FOR C_004,240
2022-01-09,REVENUE FOR C_005,240
2022-01-09,REVENUE FOR C_006,240
2022-01-09,REVENUE FOR C_007,240
2022-01-09,REVENUE FOR C_008,240
2022-01-09,REVENUE FOR C_009,240
2022-01-09,REVENUE FOR C_010,240
2022-01-09,REVENUE FOR C_011,240
2022-01-09,REVENUE FOR C_012,240
2022-01-09,REVENUE FOR C_013,240
2022-01-09,REVENUE FOR C_014,240
2022-01-09,REVENUE FOR C_015,240
2022-01-09,TECH_CALLS,-200
2022-01-09,TECH_INSPECT,0
2022-01-09,TECH_REPAIR,-1600
2022-01-16,REVENUE FOR C_000,240
2022-01-16,REVENUE FOR C_001,240
2022-01-16,REVENUE FOR C_002,240
2022-01-16,REVENUE FOR C_003,240
2022-01-16,REVENUE FOR C_004,240
2022-01-16,REVENUE FOR C_005,240
2022-01-16,REVENUE FOR C_006,240
2022-01-16,REVENUE FOR C_007,240
2022-01-16,REVENUE FOR C_008,240
2022-01-16,REVENUE FOR C_009,240
2022-01-16,REVENUE FOR C_010,240
2022-01-16,REVENUE FOR C_011,240
2022-01-16,REVENUE FOR C_012,240
2022-01-16,REVENUE FOR C_013,240
2022-01-16,REVENUE FOR C_014,240
2022-01-16,REVENUE FOR C_015,240
2022-01-16,TECH_CALLS,-200
2022-01-16,TECH_INSPECT,0
2022-01-16,TECH_REPAIR,-1600
2022-01-23,REVENUE FOR C_000,240
2022-01-23,REVENUE FOR C_001,240
2022-01-23,REVENUE FOR C_002,240
2022-01-23,REVENUE FOR C_003,240
2022-01-23,REVENUE FOR C_004,240
2022-01-23,REVENUE FOR C_005,240
2022-01-23,REVENUE FOR C_006,240
2022-01-23,REVENUE FOR C_007,240
2022-01-23,REVENUE FOR C_008,240
2022-01-23,REVENUE FOR C_009,240
2022-01-23,REVENUE FOR C_010,240
2022-01-23,REVENUE FOR C_011,240
2022-01-23,REVENUE FOR C_012,240
2022-01-23,REVENUE FOR C_013,240
2022-01-23,REVENUE FOR C_014,240
2022-01-23,REVENUE FOR C_015,240
2022-01-23,TECH_CALLS,-200
2022-01-23,TECH_INSPECT,0
2022-01-23,TECH_REPAIR,-1600
2022-01-30,REVENUE FOR C_000,240
2022-01-30,REVENUE FOR C_001,240
