time,machine_id,event
2022-01-03T08:00:00,C_000,REPAIRS DONE
2022-01-03T08:00:00,C_001,REPAIRS DONE
2022-01-03T08:00:00,C_002,REPAIRS DONE
2022-01-03T08:00:00,C_003,REPAIRS DONE
2022-01-03T08:00:00,C_004,REPAIRS DONE
2022-01-03T08:00:00,C_005,REPAIRS DONE
2022-01-03T08:00:00,C_006,REPAIRS DONE
2022-01-03T08:00:00,C_007,REPAIRS DONE
2022-01-03T08:00:00,C_008,REPAIRS DONE
2022-01-03T08:00:00,C_009,REPAIRS DONE
2022-01-03T08:00:00,C_010,REPAIRS DONE
2022-01-03T08:00:00,C_011,REPAIRS DONE
2022-01-03T08:00:00,C_012,REPAIRS DONE
2022-01-03T08:00:00,C_013,REPAIRS DONE
2022-01-03T08:00:00,C_014,REPAIRS DONE
2022-01-03T08:00:00,C_015,REPAIRS DONE
2022-01-04T08:00:00,C_011,LOUD NOISE
2022-01-04T08:00:00,C_013,LOUD NOISE
2022-01-04T08:30:00,C_001,LOUD NOISE
2022-01-04T08:30:00,C_005,LOUD NOISE
2022-01-04T08:40:00,C_011,LOUD NOISE
2022-01-04T08:50:00,C_001,LOUD NOISE
2022-01-04T08:50:00,C_014,LOUD NOISE
2022-01-04T09:00:00,C_007,LOUD NOISE
2022-01-04T09:10:00,C_004,LOUD NOISE
2022-01-04T09:30:00,C_002,LOUD NOISE
2022-01-04T09:50:00,C_000,LOUD NOISE
2022-01-04T09:50:00,C_015,LOUD NOISE
2022-01-04T10:00:00,C_006,LOUD NOISE
2022-01-04T10:10:00,C_000,LOUD NOISE
2022-01-04T10:20:00,C_000,LOUD NOISE
2022-01-04T10:20:00,C_006,LOUD NOISE
2022-01-04T10:20:00,C_011,LOUD NOISE
2022-01-04T10:30:00,C_011,LOUD NOISE
2022-01-04T10:40:00,C_011,LOUD NOISE
2022-01-04T11:20:00,C_013,LOUD NOISE
2022-01-04T11:30:00,C_008,LOUD NOISE
2022-01-04T12:00:00,C_011,LOUD NOISE
2022-01-04T12:10:00,C_015,LOUD NOISE
2022-01-04T12:20:00,C_012,LOUD NOISE
2022-01-04T12:40:00,C_006,LOUD NOISE
2022-01-04T12:40:00,C_011,LOUD NOISE
2022-01-04T13:00:00,C_015,LOUD NOISE
2022-01-04T13:30:00,C_011,LOUD NOISE
2022-01-04T13:40:00,C_004,LOUD NOISE
2022-01-04T13:50:00,C_011,LOUD NOISE
2022-01-04T13:50:00,C_015,LOUD NOISE
2022-01-04T14:00:00,C_015,LOUD NOISE
2022-01-04T14:10:00,C_001,LOUD NOISE
2022-01-04T14:20:00,C_011,LOUD NOISE
2022-01-04T14:30:00,C_015,LOUD NOISE
2022-01-04T14:40:00,C_015,LOUD NOISE
