billing_date,item,amount
2022-01-09,REVENUE FOR D_000,288
2022-01-09,REVENUE FOR D_001,288
2022-01-09,REVENUE FOR D_002,288
2022-01-09,REVENUE FOR D_003,288
2022-01-09,REVENUE FOR D_004,288
2022-01-09,REVENUE FOR D_005,288
2022-01-09,REVENUE FOR D_006,288
2022-01-09,REVENUE FOR D_007,288
2022-01-09,REVENUE FOR D_008,288
2022-01-09,REVENUE FOR D_009,288
2022-01-09,REVENUE FOR D_010,288
2022-01-09,REVENUE FOR D_011,288
2022-01-09,REVENUE FOR D_012,288
2022-01-09,REVENUE FOR D_013,288
2022-01-09,REVENUE FOR D_014,288
2022-01-09,REVENUE FOR D_015,288
2022-01-09,TECH_CALLS,0
2022-01-09,TECH_INSPECT,0
2022-01-09,TECH_REPAIR,0
2022-01-16,REVENUE FOR D_000,288
2022-01-16,REVENUE FOR D_001,288
2022-01-16,REVENUE FOR D_002,288
2022-01-16,REVENUE FOR D_003,288
2022-01-16,REVENUE FOR D_004,288
2022-01-16,REVENUE FOR D_005,288
2022-01-16,REVENUE FOR D_006,288
2022-01-16,REVENUE FOR D_007,288
2022-01-16,REVENUE FOR D_008,288
2022-01-16,REVENUE FOR D_009,288
2022-01-16,REVENUE FOR D_010,288
2022-01-16,REVENUE FOR D_011,288
2022-01-16,REVENUE FOR D_012,288
2022-01-16,REVENUE FOR D_013,288
2022-01-16,REVENUE FOR D_014,288
2022-01-16,REVENUE FOR D_015,288
2022-01-16,TECH_CALLS,0
2022-01-16,TECH_INSPECT,0
2022-01-16,TECH_REPAIR,0
2022-01-23,REVENUE FOR D_000,288
2022-01-23,REVENUE FOR D_001,288
2022-01-23,REVENUE FOR D_002,288
2022-01-23,REVENUE FOR D_003,288
2022-01-23,REVENUE FOR D_004,288
2022-01-23,REVENUE FOR D_005,288
2022-01-23,REVENUE FOR D_006,288
2022-01-23,REVENUE FOR D_007,288
2022-01-23,REVENUE FOR D_008,288
2022-01-23,REVENUE FOR D_009,288
2022-01-23,REVENUE FOR D_010,288
2022-01-23,REVENUE FOR D_011,288
2022-01-23,REVENUE FOR D_012,288
2022-01-23,REVENUE FOR D_013,288
2022-01-23,REVENUE FOR D_014,288
2022-01-23,REVENUE FOR D_015,288
2022-01-23,TECH_CALLS,0
2022-01-23,TECH_INSPECT,0
2022-01-23,TECH_REPAIR,0
