billing_date,item,amount
2022-05-08,REVENUE FOR E_000,288
2022-05-08,REVENUE FOR E_001,288
2022-05-08,REVENUE FOR E_002,288
2022-05-08,REVENUE FOR E_003,288
2022-05-08,REVENUE FOR E_004,288
2022-05-08,REVENUE FOR E_005,288
2022-05-08,REVENUE FOR E_006,288
2022-05-08,REVENUE FOR E_007,288
2022-05-08,REVENUE FOR E_008,288
2022-05-08,REVENUE FOR E_009,288
2022-05-08,REVENUE FOR E_010,288
2022-05-08,REVENUE FOR E_011,288
2022-05-08,REVENUE FOR E_012,288
2022-05-08,REVENUE FOR E_013,288
2022-05-08,REVENUE FOR E_014,288
2022-05-08,REVENUE FOR E_015,288
2022-05-08,TECH_CALLS,0
2022-05-08,TECH_INSPECT,0
2022-05-08,TECH_REPAIR,0
2022-05-15,REVENUE FOR E_000,288
2022-05-15,REVENUE FOR E_001,288
2022-05-15,REVENUE FOR E_002,288
2022-05-15,REVENUE FOR E_003,288
2022-05-15,REVENUE FOR E_004,288
2022-05-15,REVENUE FOR E_005,288
2022-05-15,REVENUE FOR E_006,288
2022-05-15,REVENUE FOR E_007,288
2022-05-15,REVENUE FOR E_008,288
2022-05-15,REVENUE FOR E_009,288
2022-05-15,REVENUE FOR E_010,288
2022-05-15,REVENUE FOR E_011,288
2022-05-15,REVENUE FOR E_012,288
2022-05-15,REVENUE FOR E_013,288
2022-05-15,REVENUE FOR E_014,288
2022-05-15,REVENUE FOR E_015,288
2022-05-15,TECH_CALLS,0
2022-05-15,TECH_INSPECT,0
2022-05-15,TECH_REPAIR,0
2022-05-22,REVENUE FOR E_000,288
2022-05-22,REVENUE FOR E_001,288
2022-05-22,REVENUE FOR E_002,288
2022-05-22,REVENUE FOR E_003,288
2022-05-22,REVENUE FOR E_004,288
2022-05-22,REVENUE FOR E_005,288
2022-05-22,REVENUE FOR E_006,288
2022-05-22,REVENUE FOR E_007,288
2022-05-22,REVENUE FOR E_008,288
2022-05-22,REVENUE FOR E_009,288
2022-05-22,REVENUE FOR E_010,288
2022-05-22,REVENUE FOR E_011,288
2022-05-22,REVENUE FOR E_012,288
2022-05-22,REVENUE FOR E_013,288
2022-05-22,REVENUE FOR E_014,288
2022-05-22,REVENUE FOR E_015,288
2022-05-22,TECH_CALLS,0
2022-05-22,TECH_INSPECT,0
2022-05-22,TECH_REPAIR,0
