time,machine_id,event
2022-05-02T08:00:00,E_010,LOUD NOISE
2022-05-02T08:30:00,E_007,LOUD NOISE
2022-05-02T08:30:00,E_009,LOUD NOISE
2022-05-02T09:00:00,E_009,LOUD NOISE
2022-05-02T09:20:00,E_002,LOUD NOISE
2022-05-02T09:30:00,E_010,LOUD NOISE
2022-05-02T10:20:00,E_014,LOUD NOISE
2022-05-02T10:30:00,E_009,LOUD NOISE
2022-05-02T10:40:00,E_001,LOUD NOISE
2022-05-02T11:10:00,E_002,LOUD NOISE
2022-05-02T11:10:00,E_011,VERY LOUD NOISE
2022-05-02T11:20:00,E_001,LOUD NOISE
2022-05-02T11:30:00,E_006,LOUD NOISE
2022-05-02T11:50:00,E_003,LOUD NOISE
2022-05-02T11:50:00,E_009,LOUD NOISE
2022-05-02T11:50:00,E_010,LOUD NOISE
2022-05-02T11:50:00,E_011,LOUD NOISE
2022-05-02T12:00:00,E_008,LOUD NOISE
2022-05-02T12:10:00,E_009,LOUD NOISE
2022-05-02T12:50:00,E_004,LOUD NOISE
2022-05-02T12:50:00,E_010,LOUD NOISE
2022-05-02T12:50:00,E_014,VERY LOUD NOISE
2022-05-02T13:10:00,E_009,VERY LOUD NOISE
2022-05-02T13:20:00,E_008,LOUD NOISE
2022-05-02T13:20:00,E_011,LOUD NOISE
2022-05-02T14:00:00,E_009,LOUD NOISE
2022-05-02T14:20:00,E_014,LOUD NOISE
2022-05-02T14:30:00,E_009,LOUD NOISE
2022-05-02T15:00:00,E_011,LOUD NOISE
2022-05-02T15:40:00,E_010,LOUD NOISE
2022-05-02T15:50:00,E_012,LOUD NOISE
2022-05-03T08:00:00,E_008,LOUD NOISE
2022-05-03T08:10:00,E_014,LOUD NOISE
2022-05-03T08:40:00,E_011,LOUD NOISE
2022-05-03T09:30:00,E_008,LOUD NOISE
2022-05-03T09:30:00,E_011,LOUD NOISE
2022-05-03T09:50:00,E_003,LOUD NOISE
2022-05-03T09:50:00,E_008,LOUD NOISE
2022-05-03T10:00:00,E_004,VERY LOUD NOISE
2022-05-03T10:00:00,E_007,LOUD NOISE
2022-05-03T10:00:00,E_008,LOUD NOISE
2022-05-03T10:00:00,E_011,LOUD NOISE
2022-05-03T10:10:00,E_008,LOUD NOISE
2022-05-03T10:20:00,E_008,LOUD NOISE
2022-05-03T10:30:00,E_014,LOUD NOISE
2022-05-03T10:50:00,E_010,LOUD NOISE
2022-05-03T11:00:00,E_014,LOUD NOISE
2022-05-03T11:10:00,E_007,LOUD NOISE
2022-05-03T11:10:00,E_008,LOUD NOISE
2022-05-03T11:10:00,E_011,LOUD NOISE
2022-05-03T11:30:00,E_009,LOUD NOISE
2022-05-03T11:40:00,E_004,LOUD NOISE
2022-05-03T12:10:00,E_014,LOUD NOISE
2022-05-03T12:30:00,E_008,LOUD NOISE
2022-05-03T12:40:00,E_014,LOUD NOISE
2022-05-03T12:50:00,E_007,LOUD NOISE
2022-05-03T13:20:00,E_002,LOUD NOISE
2022-05-03T13:20:00,E_004,LOUD NOISE
2022-05-03T13:40:00,E_007,LOUD NOISE
2022-05-03T13:40:00,E_008,LOUD NOISE
2022-05-03T13:40:00,E_009,VERY LOUD NOISE
2022-05-03T13:50:00,E_008,LOUD NOISE
2022-05-03T13:50:00,E_015,LOUD NOISE
2022-05-03T14:00:00,E_000,LOUD NOISE
2022-05-03T14:10:00,E_014,LOUD NOISE
2022-05-03T14:40:00,E_002,LOUD NOISE
2022-05-03T15:10:00,E_009,LOUD NOISE
2022-05-03T15:20:00,E_008,LOUD NOISE
2022-05-03T15:30:00,E_008,LOUD NOISE
2022-05-03T15:40:00,E_008,LOUD NOISE
2022-05-03T15:40:00,E_011,LOUD NOISE
2022-05-03T15:50:00,E_014,LOUD NOISE
2022-05-04T08:40:00,E_001,LOUD NOISE
2022-05-04T09:00:00,E_007,LOUD NOISE
2022-05-04T09:10:00,E_008,LOUD NOISE
2022-05-04T09:40:00,E_004,LOUD NOISE
2022-05-04T09:40:00,E_008,LOUD NOISE
2022-05-04T09:40:00,E_009,LOUD NOISE
2022-05-04T09:50:00,E_007,LOUD NOISE
2022-05-04T09:50:00,E_009,LOUD NOISE
2022-05-04T10:00:00,E_009,LOUD NOISE
2022-05-04T10:10:00,E_002,LOUD NOISE
2022-05-04T10:30:00,E_004,LOUD NOISE
2022-05-04T10:40:00,E_001,LOUD NOISE
2022-05-04T10:40:00,E_007,LOUD NOISE
2022-05-04T10:50:00,E_010,LOUD NOISE
2022-05-04T11:10:00,E_007,LOUD NOISE
2022-05-04T11:10:00,E_008,LOUD NOISE
2022-05-04T11:40:00,E_008,LOUD NOISE
2022-05-04T12:00:00,E_010,LOUD NOISE
2022-05-04T12:10:00,E_011,LOUD NOISE
2022-05-04T12:10:00,E_014,VERY LOUD NOISE
2022-05-04T12:40:00,E_007,LOUD NOISE
2022-05-04T13:20:00,E_009,LOUD NOISE
2022-05-04T13:30:00,E_004,LOUD NOISE
2022-05-04T13:30:00,E_009,LOUD NOISE
2022-05-04T14:00:00,E_009,LOUD NOISE
2022-05-04T14:40:00,E_010,LOUD NOISE
2022-05-04T15:10:00,E_007,LOUD NOISE
2022-05-04T15:10:00,E_014,LOUD NOISE
2022-05-04T15:20:00,E_007,LOUD NOISE
2022-05-04T15:30:00,E_014,LOUD NOISE
2022-05-05T08:00:00,E_002,LOUD NOISE
2022-05-05T08:00:00,E_014,LOUD NOISE
2022-05-05T08:20:00,E_009,LOUD NOISE
2022-05-05T08:30:00,E_009,VERY LOUD NOISE
2022-05-05T08:40:00,E_002,LOUD NOISE
2022-05-05T08:50:00,E_011,LOUD NOISE
2022-05-05T09:00:00,E_008,LOUD NOISE
2022-05-05T09:50:00,E_007,VERY LOUD NOISE
2022-05-05T09:50:00,E_014,LOUD NOISE
2022-05-05T10:00:00,E_014,LOUD NOISE
2022-05-05T10:10:00,E_008,LOUD NOISE
2022-05-05T10:20:00,E_010,LOUD NOISE
2022-05-05T10:20:00,E_011,LOUD NOISE
2022-05-05T11:10:00,E_002,LOUD NOISE
2022-05-05T11:20:00,E_006,LOUD NOISE
2022-05-05T11:50:00,E_008,LOUD NOISE
2022-05-05T11:50:00,E_009,LOUD NOISE
2022-05-05T11:50:00,E_015,LOUD NOISE
2022-05-05T12:10:00,E_013,LOUD NOISE
2022-05-05T12:20:00,E_001,LOUD NOISE
2022-05-05T12:20:00,E_009,LOUD NOISE
2022-05-05T13:00:00,E_014,LOUD NOISE
2022-05-05T13:20:00,E_007,LOUD NOISE
2022-05-05T13:20:00,E_011,LOUD NOISE
2022-05-05T13:40:00,E_007,LOUD NOISE
