surface,chambres,type_maison,prix
224,2,villa,247793
72,3,appartement,397861
92,4,appartement,324389
65,1,appartement,576156
235,4,maison_de_ville,659231
222,1,maison_de_ville,654740
227,5,maison_de_ville,374130
151,3,appartement,570521
223,4,villa,211483
180,5,appartement,322634
165,3,appartement,547382
57,3,villa,152260
130,3,appartement,559386
163,3,appartement,428085
235,4,villa,627110
143,5,villa,449105
232,2,appartement,593555
67,3,villa,660311
274,4,maison_de_ville,312316
244,2,appartement,349122
240,3,maison_de_ville,461120
57,5,maison_de_ville,378275
260,4,villa,211324
274,4,appartement,213918
225,4,maison_de_ville,478838
273,5,villa,209942
268,3,appartement,202578
247,1,appartement,649948
240,2,maison_de_ville,677276
72,3,villa,315080
80,5,maison_de_ville,209642
298,2,maison_de_ville,682496
166,4,villa,234002
295,5,maison_de_ville,344851
100,4,villa,221849
168,4,villa,221262
98,1,maison_de_ville,396629
78,1,villa,573389
255,1,maison_de_ville,275710
260,2,villa,408175
227,5,maison_de_ville,191672
67,2,appartement,235965
92,3,appartement,589589
55,2,appartement,698177
70,4,appartement,481737
167,3,appartement,423432
138,4,appartement,364181
238,1,appartement,479445
197,5,villa,400280
80,2,villa,428517
221,5,villa,565011
276,5,appartement,287235
261,4,appartement,464569
206,4,maison_de_ville,629434
114,5,villa,481535
94,4,villa,226066
182,5,appartement,159767
296,4,maison_de_ville,630547
56,4,appartement,254837
127,2,villa,226819
95,5,maison_de_ville,373508
56,4,villa,680458
57,2,villa,428082
239,1,maison_de_ville,288890
113,1,maison_de_ville,515962
289,2,maison_de_ville,222132
232,2,appartement,406150
140,2,appartement,537477
177,4,appartement,448830
271,2,appartement,315409
92,5,appartement,609469
170,4,maison_de_ville,467212
156,3,maison_de_ville,158203
134,1,appartement,463921
253,1,villa,258618
98,2,villa,290814
223,4,maison_de_ville,427312
91,4,villa,271035
67,4,appartement,262235
231,1,appartement,312998
258,4,villa,435577
62,5,appartement,445442
129,3,villa,370861
130,5,maison_de_ville,509536
258,1,villa,363487
277,4,appartement,426807
218,4,maison_de_ville,679959
123,5,villa,662262
67,2,appartement,413319
105,2,appartement,203266
66,1,appartement,246781
92,3,villa,594151
115,3,maison_de_ville,440120
180,2,villa,196228
265,3,appartement,153717
112,3,villa,499759
264,2,maison_de_ville,287174
169,5,villa,424680
80,4,maison_de_ville,319430
244,4,maison_de_ville,613298
289,2,appartement,598462
167,1,maison_de_ville,160139
269,3,maison_de_ville,267308
206,4,villa,228898
239,3,appartement,306294
186,4,villa,187778
195,4,appartement,537151
171,5,villa,305287
196,3,villa,600664
239,1,maison_de_ville,283636
144,1,maison_de_ville,193860
234,1,appartement,473232
65,2,villa,532364
297,2,appartement,191832
155,1,maison_de_ville,525190
273,1,maison_de_ville,370281
159,4,appartement,411650
215,4,villa,257786
117,4,villa,520858
287,3,appartement,576117
62,5,maison_de_ville,312060
279,3,villa,398237
69,3,maison_de_ville,320395
72,3,villa,335652
233,1,appartement,582322
258,5,appartement,175990
88,3,appartement,338073
76,2,maison_de_ville,498321
248,5,maison_de_ville,581712
128,5,maison_de_ville,410222
122,3,appartement,429766
62,3,appartement,316931
154,3,maison_de_ville,263346
68,3,maison_de_ville,551124
78,5,appartement,190605
80,5,villa,643554
282,4,appartement,383238
142,5,maison_de_ville,359267
245,1,maison_de_ville,632662
136,4,appartement,516643
222,5,villa,470015
72,2,villa,388651
291,5,appartement,383752
71,4,maison_de_ville,174813
118,1,villa,352511
280,4,appartement,567821
276,5,villa,494207
241,4,maison_de_ville,442136
293,2,appartement,222792
235,5,appartement,442683
170,2,maison_de_ville,518203
134,1,villa,684150
252,4,villa,569093
50,5,villa,497235
251,4,appartement,178941
95,5,appartement,270944
100,5,villa,423903
173,5,villa,337241
136,4,appartement,428361
231,3,appartement,190115
199,1,appartement,263668
182,5,villa,605673
250,2,appartement,512479
92,2,maison_de_ville,478914
77,4,maison_de_ville,607592
238,2,appartement,686265
194,4,appartement,271263
221,3,maison_de_ville,553906
294,3,appartement,349312
112,4,appartement,417095
167,2,maison_de_ville,196542
163,1,villa,607239
110,4,villa,151773
74,3,maison_de_ville,695175
161,2,maison_de_ville,356606
163,1,appartement,531913
185,5,appartement,602248
243,1,villa,223372
284,2,villa,496239
96,5,villa,479164
116,5,maison_de_ville,280679
192,1,maison_de_ville,464910
174,3,maison_de_ville,681756
173,1,appartement,474308
218,1,villa,578231
99,1,villa,492027
279,2,maison_de_ville,571947
197,2,appartement,460016
186,4,appartement,283470
286,2,villa,351158
115,2,villa,590869
167,1,appartement,547562
187,3,appartement,332480
146,2,maison_de_ville,465568
54,1,villa,575800
263,4,maison_de_ville,150425
248,4,villa,468635
141,3,appartement,450850
164,5,maison_de_ville,370392
74,2,maison_de_ville,600770
