DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,MONTH,DAY
2020-01-01,11,10,12,10,11,10,3.9,97,7.875,1029,85.75,11,10,8,353,248,353,0,1,3.3,bad,01,01
2020-01-02,12,9,21,9,11,10,0.1,91,8.625,1029,95.125,12,9,8,122,122,122,0,1,3.3,bad,01,02
2020-01-03,12,10,24,11,12,10,0.6,94,9.375,1032,77.0,12,10,8,176,116,176,0,1,5.1,bad,01,03
2020-01-04,9,5,7,5,8,7,0.0,90,10.0,1038,12.375,9,6,3,113,116,116,0,1,8.7,very bad,01,04
2020-01-05,9,4,10,4,7,7,0.0,88,10.0,1038,18.625,9,5,3,116,116,116,0,1,8.7,very bad,01,05
2020-01-06,10,2,17,2,7,10,0.0,91,10.0,1031,32.0,10,8,-1,116,116,119,0,1,8.7,very bad,01,06
2020-01-07,12,11,18,11,12,12,0.4,99,3.0,1029,99.875,12,12,10,248,248,266,0,1,3.3,bad,01,07
2020-01-08,13,12,17,11,12,12,1.7,95,5.0,1028,98.25,13,12,10,266,266,122,0,1,3.3,bad,01,08
2020-01-09,13,10,34,12,13,10,7.2,91,9.375,1024,91.375,13,12,6,122,296,353,0,1,3.3,bad,01,09
2020-01-10,9,7,18,8,8,9,0.0,84,10.0,1032,57.5,9,6,4,116,116,122,0,1,5.1,bad,01,10
2020-01-11,9,5,18,4,8,8,0.0,90,10.0,1033,39.0,9,6,2,116,116,119,0,1,6.9,very bad,01,11
2020-01-12,12,10,21,10,12,10,0.8,92,9.0,1029,72.625,12,10,8,122,176,176,0,1,3.3,bad,01,12
