DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-01-01,5,0,13,1,3,2,0,91,10,1014,25.625,5,0,-3,116,119,116,0,2,6.9,météo très défavorable,17:27:00,08:53:00,2
2021-01-02,5,0,9,-0,4,3,0,92,10,1017,23.125,5,1,-3,116,116,116,0,2,8.7,météo très défavorable,17:28:00,08:53:00,0
2021-01-03,3,0,11,0,3,3,0.2,95,7.625,1016,82.5,3,2,-2,119,143,326,0.1,2,5.1,météo très défavorable,17:29:00,08:53:00,1
2021-01-04,2,-2,15,0,2,2,0.8,97,4.75,1016,90.25,2,1,-4,143,338,338,0.3,2,3.3,météo très défavorable,17:30:00,08:53:00,0
2021-01-05,3,0,13,1,2,2,0.8,98,5.875,1018,96.375,3,1,-2,332,326,371,0.6,1,3.3,météo très défavorable,17:31:00,08:52:00,0
2021-01-06,3,-2,7,-2,2,2,0,96,7,1020,77,3,0,-4,143,116,122,0,1,5.1,météo très défavorable,17:33:00,08:52:00,-2
2021-01-07,4,-1,7,-1,3,2,0,95,8,1019,43.625,4,0,-3,143,116,116,0,2,8.7,météo très défavorable,17:34:00,08:52:00,1
2021-01-08,5,-1,7,-1,3,3,0.1,90,10,1020,53.25,5,1,-1,116,116,176,0,2,5.1,météo très défavorable,17:35:00,08:52:00,-1
2021-01-09,4,-2,29,-2,2,2,0,93,10,1023,13.125,4,0,-7,116,116,116,0,2,8.7,météo très défavorable,17:36:00,08:51:00,-2
2021-01-10,5,-1,24,-1,3,2,0,86,10,1025,4.5,5,0,-7,116,116,116,0,2,8.7,météo très défavorable,17:37:00,08:51:00,-1
2021-01-11,6,-1,8,-1,4,5,0,92,10,1027,23.25,6,4,-4,116,116,116,0,2,8.7,météo très défavorable,17:39:00,08:50:00,-1
2021-01-12,11,4,27,7,10,10,0.3,88,10,1025,95.875,11,8,3,176,122,122,0,2,3.3,météo défavorable,17:40:00,08:50:00,6
2021-01-13,10,4,19,8,10,9,0.3,94,10,1027,78.5,10,8,5,119,176,176,0,3,3.3,météo défavorable,17:41:00,08:49:00,9
2021-01-14,12,7,26,9,12,10,0.7,90,9,1027,90.5,12,10,6,122,266,176,0,3,3.3,météo défavorable,17:42:00,08:49:00,9
2021-01-15,7,2,18,5,6,5,0,90,10,1030,47.75,7,4,2,119,122,119,0,3,6.9,météo très défavorable,17:44:00,08:48:00,6
2021-01-16,7,2,27,2,4,6,2.5,92,7.375,1030,97.875,7,9,-1,122,266,176,0,1,3.4,météo très défavorable,17:45:00,08:47:00,2
2021-01-17,8,4,7,4,7,7,0,94,8,1028,44.5,8,6,2,143,116,122,0,2,6.9,météo très défavorable,17:47:00,08:47:00,5
2021-01-18,7,1,15,3,6,5,0,92,10,1031,64.125,7,4,0,116,116,119,0,1,5.2,météo très défavorable,17:48:00,08:46:00,3
2021-01-19,11,5,28,6,10,10,0,94,10,1023,69.25,11,8,3,119,122,119,0,3,3.4,météo défavorable,17:49:00,08:45:00,5
2021-01-20,11,7,41,9,10,11,5.4,82,7.625,1008,92,11,9,6,296,119,266,0,3,3.4,météo défavorable,17:51:00,08:44:00,9
2021-01-21,10,7,45,7,9,10,21.7,89,8,998,90.125,10,9,3,176,176,308,0,2,3.4,météo très défavorable,17:52:00,08:43:00,8
2021-01-22,6,5,31,6,5,6,22.9,96,8.75,999,73,6,6,-0,116,302,296,0,2,3.4,météo très défavorable,17:54:00,08:43:00,5
2021-01-23,7,4,28,5,6,5,10,92,9.375,1002,60.125,7,4,-0,122,317,116,0,2,5.2,météo très défavorable,17:55:00,08:42:00,5
2021-01-24,7,2,27,2,6,5,5.7,93,9.625,1004,83,7,5,-1,116,176,296,0,2,3.4,météo très défavorable,17:57:00,08:41:00,3
2021-01-25,7,-1,17,2,5,4,0,85,10,1018,11.875,7,1,-2,116,116,116,0,2,8.7,météo très défavorable,17:58:00,08:40:00,2
2021-01-26,6,-1,18,-0,4,4,0.2,82,9,1022,45,6,1,-3,116,122,116,0,2,5.2,météo très défavorable,17:59:00,08:38:00,0
2021-01-27,12,4,17,9,12,8,4.2,99,4.875,1019,100,12,11,7,248,122,302,0,3,4.8,météo défavorable,18:01:00,08:37:00,8
2021-01-28,13,9,31,12,12,12,4.2,95,8.5,1017,100,13,12,9,176,302,266,0,3,4.8,météo défavorable,18:02:00,08:36:00,12
2021-01-29,12,9,31,10,12,10,8.8,94,9.375,1012,85.125,12,11,7,176,353,353,0,3,4.8,météo défavorable,18:04:00,08:35:00,11
2021-01-30,12,9,33,11,11,10,9.3,89,8.25,1006,91.625,12,11,7,296,176,353,0,3,4.9,météo défavorable,18:05:00,08:34:00,12
2021-01-31,10,3,14,9,10,8,4.7,96,6.625,1003,91.375,10,9,6,143,143,266,0,2,4.9,météo défavorable,18:07:00,08:33:00,8
2021-02-01,12,7,40,11,11,11,3.4,89,9.125,1006,91.5,12,9,7,296,296,176,0,3,6.6,météo défavorable,18:08:00,08:31:00,10
2021-02-02,13,10,35,12,13,12,3.7,94,8.75,1007,100,13,11,9,266,176,353,0,3,4.9,météo défavorable,18:10:00,08:30:00,12
2021-02-03,12,9,42,11,10,10,13.9,87,9.25,1008,90.875,12,11,6,302,176,353,0,3,4.9,météo défavorable,18:12:00,08:29:00,12
2021-02-04,13,8,14,9,12,11,3.5,95,9.75,1011,51.375,13,9,7,296,119,116,0,4,9.9,météo correcte,18:13:00,08:27:00,9
2021-02-05,12,7,9,7,11,10,0.3,96,6,1012,62.875,12,8,6,143,119,353,0,2,6.6,météo défavorable,18:15:00,08:26:00,8
2021-02-06,9,5,24,8,8,7,28.9,95,7.375,1008,100,9,8,4,296,302,302,0,2,5,météo très défavorable,18:16:00,08:25:00,8
2021-02-07,8,3,17,4,7,5,0.1,89,10,1004,45.125,8,3,1,122,116,176,0,3,9.9,météo très défavorable,18:18:00,08:23:00,4
2021-02-08,4,0,16,-0,3,3,0,79,10,1001,52,4,0,-4,116,116,116,0,1,10,météo très défavorable,18:19:00,08:22:00,0
2021-02-09,2,-5,26,-1,2,-0,10.6,87,8.625,1002,76.375,2,3,-4,116,122,302,0,2,5,météo très défavorable,18:21:00,08:20:00,-1
2021-02-10,1,-4,22,-1,-1,-2,0.5,94,8.625,1019,66.875,1,2,-7,122,122,116,0,1,8.3,météo très défavorable,18:22:00,08:19:00,1
2021-02-11,3,-4,27,-3,1,2,0,71,10,1021,45.5,3,0,-10,116,323,119,0,2,8.3,météo très défavorable,18:24:00,08:17:00,-4
2021-02-12,1,-3,27,-1,-2,-2,17.7,95,6.125,1025,67.75,1,0,-8,314,314,116,0,1,8.3,météo très défavorable,18:25:00,08:16:00,0
2021-02-13,3,-4,19,-4,0,1,0,73,10,1030,43,3,0,-10,116,119,116,0,2,10,météo très défavorable,18:27:00,08:14:00,-4
2021-02-14,9,-1,22,1,7,8,0,72,10,1030,58,9,5,-4,119,122,116,0,2,8.3,météo très défavorable,18:29:00,08:12:00,-1
2021-02-15,10,3,28,5,8,8,0,87,10,1027,62.5,10,7,0,119,116,116,0,3,6.7,météo très défavorable,18:30:00,08:11:00,5
2021-02-16,11,6,28,7,9,10,1,93,9.25,1022,55.5,11,8,3,116,116,176,0,2,6.7,météo défavorable,18:32:00,08:09:00,8
2021-02-17,13,6,29,8,12,10,0.2,96,9.875,1020,56.25,13,9,5,116,119,176,0,4,6.7,météo correcte,18:33:00,08:07:00,8
2021-02-18,12,6,27,11,11,7,7.3,90,9.375,1016,72.375,12,10,6,176,296,176,0,3,5.1,météo défavorable,18:35:00,08:06:00,10
2021-02-19,13,5,23,5,11,11,0,96,10,1015,44.25,13,9,2,116,116,116,0,3,8.4,météo correcte,18:36:00,08:04:00,5
2021-02-20,17,11,41,11,15,15,0,80,10,1009,14.125,17,9,7,116,116,116,0,4,10.4,météo correcte,18:38:00,08:02:00,11
2021-02-21,15,10,25,10,13,13,0,75,10,1008,44.25,15,10,7,116,122,116,0,4,8.4,météo correcte,18:39:00,08:01:00,11
2021-02-22,14,11,20,11,14,13,1.5,82,9.375,1017,86,14,11,9,122,119,353,0,4,5.4,météo défavorable,18:41:00,07:59:00,11
2021-02-23,14,7,24,7,12,12,0.2,93,8.625,1029,35.125,14,9,5,176,113,113,0,3,10.9,météo correcte,18:42:00,07:57:00,9
2021-02-24,16,9,26,10,15,14,0,92,9.375,1029,11.375,16,11,7,116,116,116,0,4,10.9,météo correcte,18:44:00,07:55:00,9
2021-02-25,15,9,12,9,14,12,0.2,95,8,1032,67.5,15,11,7,143,116,176,0,4,7,météo défavorable,18:46:00,07:54:00,10
2021-02-26,11,3,16,3,9,8,0.1,96,9,1037,22.125,11,5,0,116,113,116,0,2,11,météo très défavorable,18:47:00,07:52:00,4
2021-02-27,10,2,23,2,8,8,0,92,10,1037,2.125,10,3,-2,116,116,116,0,3,11,météo très défavorable,18:49:00,07:50:00,3
2021-02-28,11,2,29,2,8,9,0,92,10,1034,2.875,11,5,-2,116,113,116,0,3,11,météo très défavorable,18:50:00,07:48:00,3
2021-03-01,14,3,16,3,11,12,0,93,10,1028,9,14,9,0,116,116,116,0,3,11.1,météo correcte,18:52:00,07:46:00,4
2021-03-02,15,6,16,6,13,13,0,91,10,1027,36.25,15,10,4,116,116,116,0,4,11.1,météo correcte,18:53:00,07:45:00,7
2021-03-03,15,8,12,8,13,13,2.9,95,9.5,1028,62.625,15,10,6,116,293,176,0,3,5.6,météo correcte,18:55:00,07:43:00,8
2021-03-04,12,6,9,6,11,11,0,94,9,1026,58.75,12,8,5,116,116,122,0,3,7.1,météo défavorable,18:56:00,07:41:00,7
2021-03-05,8,3,24,6,7,5,0,86,10,1028,49.625,8,6,2,119,119,116,0,2,8.6,météo très défavorable,18:58:00,07:39:00,7
2021-03-06,8,-2,22,-2,6,6,0,80,10,1029,1,8,1,-7,113,113,113,0,2,11.2,météo très défavorable,18:59:00,07:37:00,-1
2021-03-07,9,-1,16,-1,7,7,0,85,10,1027,0,9,3,-6,113,113,113,0,2,11.6,météo très défavorable,19:00:00,07:35:00,-1
2021-03-08,9,-2,16,-2,7,8,0,89,10,1023,0.125,9,2,-6,113,113,113,0,2,11.6,météo très défavorable,19:02:00,07:33:00,-1
2021-03-09,10,-2,8,-2,8,8,0,93,10,1024,19.5,10,3,-4,116,116,116,0,3,11.6,météo très défavorable,19:03:00,07:31:00,-1
2021-03-10,10,1,26,1,9,9,0.1,93,10,1022,83.875,10,7,-2,122,116,122,0,2,7.3,météo très défavorable,19:05:00,07:29:00,2
2021-03-11,12,7,39,12,12,9,4,95,8.25,1018,64.75,12,11,8,266,302,353,0,3,10.2,météo défavorable,19:06:00,07:27:00,12
2021-03-12,11,5,36,5,11,9,3.5,90,9.625,1018,74.375,11,6,2,176,353,353,0,3,5.9,météo très défavorable,19:08:00,07:25:00,5
2021-03-13,10,5,44,9,10,7,3.4,88,9.875,1014,76.625,10,7,4,353,296,353,0,2,7.3,météo défavorable,19:09:00,07:23:00,9
2021-03-14,10,3,23,3,10,8,0.2,82,10,1026,31.875,10,4,-1,116,116,176,0,2,11.6,météo très défavorable,19:11:00,07:21:00,3
2021-03-15,12,5,23,6,12,11,0.3,93,10,1027,64.875,12,9,3,119,116,353,0,4,7.4,météo défavorable,19:12:00,07:19:00,5
2021-03-16,14,7,15,8,12,12,0.5,97,6.125,1030,77.875,14,10,6,248,122,353,0,4,7.4,météo défavorable,19:14:00,07:17:00,7
2021-03-17,11,5,25,6,10,8,0,92,8.75,1032,41.875,11,7,3,119,116,116,0,3,11.6,météo défavorable,19:15:00,07:15:00,8
2021-03-18,9,2,18,2,8,8,0.3,96,8.625,1031,63.75,9,5,-2,116,116,176,0,2,7.4,météo très défavorable,19:16:00,07:13:00,3
2021-03-19,9,4,33,8,9,7,2.5,95,9.75,1025,53.75,9,7,4,296,353,113,0,2,10.2,météo défavorable,19:18:00,07:11:00,7
2021-03-20,10,0,22,-0,8,9,0,82,10,1030,9.875,10,4,-5,116,116,116,0,3,11.6,météo très défavorable,19:19:00,07:09:00,1
2021-03-21,11,2,14,2,10,10,0.2,96,7,1030,54,11,7,-0,143,116,176,0,3,7.5,météo très défavorable,19:21:00,07:07:00,2
2021-03-22,12,1,15,1,10,12,0,95,8,1027,5.25,13,8,-2,143,113,113,0,3,11.6,météo très défavorable,19:22:00,07:05:00,2
2021-03-23,15,3,10,3,12,15,0,92,10,1026,5.125,17,8,1,116,113,113,0,4,11.6,météo correcte,19:24:00,07:03:00,4
2021-03-24,12,5,20,5,12,11,0.1,92,10,1024,45.375,12,8,3,116,116,119,0,3,7.5,météo très défavorable,19:25:00,07:01:00,6
2021-03-25,13,7,15,7,12,11,3.9,98,8,1022,74.5,13,9,6,353,266,353,0,3,7.7,météo défavorable,19:26:00,06:59:00,8
2021-03-26,11,5,29,8,10,9,1,85,9.875,1025,57.25,11,8,5,116,122,176,0,3,7.7,météo défavorable,19:28:00,06:57:00,6
2021-03-27,13,4,13,5,11,11,0,79,10,1028,39.375,13,7,3,116,116,116,0,3,10.3,météo correcte,19:29:00,06:55:00,4
2021-03-28,18,7,15,8,16,15,0,94,10,1025,12.75,18,12,5,116,116,116,0,4,11.6,météo favorable,19:31:00,06:53:00,8
