date,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2015-04-03,122,0.0,1,7.8,bad
2015-04-02,119,0.0,1,6.5,bad
2015-03-31,119,0.0,1,6.4,bad
2015-03-30,122,0.0,1,6.4,bad
2015-03-29,122,0.0,1,6.4,bad
2015-03-28,122,0.0,1,6.4,bad
2015-07-13,119,0.0,1,12.8,bad
2015-03-18,116,0.0,1,8.8,bad
2015-07-19,122,0.0,1,9.5,bad
2015-04-04,116,0.0,1,7.8,bad
2015-10-22,119,0.0,3,5.4,bad
2015-03-10,116,0.0,1,10.2,bad
2015-10-29,119,0.0,4,3.8,bad
2015-07-26,119,0.0,1,9.4,bad
2015-07-27,119,0.0,1,9.4,bad
2015-07-28,122,0.0,1,9.4,bad
2015-03-02,116,0.0,1,11.1,bad
2015-03-01,122,0.0,1,5.5,bad
2015-02-26,122,0.0,2,5.5,bad
2015-02-25,122,0.0,2,5.5,bad
2015-07-20,119,0.0,1,9.5,bad
2015-11-06,116,0.0,1,3.7,bad
2015-10-06,122,0.0,4,5.6,bad
2015-04-15,116,0.0,1,7.9,bad
2015-05-31,122,0.0,1,9.6,bad
2015-09-13,116,0.0,1,9.0,bad
2015-05-14,122,0.0,1,11.4,bad
2015-06-10,119,0.0,1,14.7,bad
2015-06-12,113,0.0,1,14.7,bad
2015-05-08,122,0.0,1,9.3,bad
2015-06-14,302,0.0,1,11.9,bad
2015-06-15,122,0.0,1,12.9,bad
2015-10-05,122,0.0,5,8.6,bad
2015-05-03,116,0.0,1,10.3,bad
2015-05-01,122,0.0,1,9.2,bad
2015-04-30,248,0.0,1,9.1,bad
2015-06-18,122,0.0,1,12.9,bad
2015-08-25,122,0.0,5,6.9,bad
2015-04-26,116,0.0,1,10.2,bad
2015-04-24,122,0.0,1,9.3,bad
2015-04-18,116,0.0,1,7.9,bad
2015-04-17,119,0.0,1,6.7,bad
2015-04-16,119,0.0,1,6.7,bad
2015-05-02,122,0.0,1,9.2,bad
2015-11-11,143,0.0,1,3.5,bad
2015-09-15,122,0.0,1,9.0,bad
2015-08-13,122,0.0,5,12.3,bad
2015-11-30,122,0.0,1,3.3,bad
2015-12-01,122,0.0,1,5.1,bad
2015-12-15,119,0.0,1,3.3,bad
2015-01-09,122,0.0,1,3.3,bad
2015-01-10,122,0.0,1,3.3,bad
2015-12-24,119,0.0,1,6.9,bad
2015-01-13,113,0.0,1,6.9,bad
2015-01-14,122,0.0,1,5.1,bad
2015-12-03,122,0.0,1,5.1,bad
2015-12-04,113,0.0,1,8.7,bad
2015-01-15,122,0.0,1,3.4,bad
2015-01-28,122,0.0,1,4.8,bad
2015-12-22,122,0.0,1,3.3,bad
2015-08-11,119,0.0,5,10.2,bad
2015-12-19,119,0.0,1,8.7,bad
2015-12-12,113,0.0,1,8.7,bad
2015-08-14,116,0.0,4,8.2,bad
2015-11-27,122,0.0,1,3.4,bad
2015-12-16,116,0.0,1,5.1,bad
2015-08-27,122,0.0,4,6.7,bad
2015-02-14,116,0.0,3,8.3,bad
2015-11-26,119,0.0,1,3.4,bad
2015-01-04,119,0.0,1,3.3,bad
2015-11-25,122,0.0,1,3.4,bad
2015-11-16,122,0.0,1,3.5,bad
2015-11-20,122,0.0,1,3.4,bad
2015-11-17,122,0.0,1,3.4,bad
2015-01-03,119,0.0,1,3.3,bad
2015-11-19,122,0.0,1,3.4,bad
2015-01-02,113,0.0,1,5.1,bad
2015-08-16,122,0.0,5,9.3,good
2015-06-20,113,0.0,1,16.0,good
2015-09-12,113,0.0,1,11.6,good
2015-05-29,116,0.0,1,14.5,good
2015-06-22,116,0.0,1,16.0,good
2015-06-23,113,0.0,1,16.0,good
2015-06-24,113,0.0,1,16.0,good
2015-06-25,113,0.0,1,16.0,good
2015-05-28,116,0.0,1,14.5,good
2015-05-30,116,0.0,1,14.5,good
2015-06-04,113,0.0,1,14.5,good
2015-06-03,113,0.0,1,13.5,good
2015-08-20,113,0.0,5,11.6,good
2015-06-06,113,0.0,1,14.5,good
2015-06-17,113,0.0,1,16.0,good
2015-06-16,113,0.0,1,15.9,good
2015-06-07,113,0.0,1,14.5,good
2015-08-26,122,0.0,4,9.2,good
2015-08-19,116,0.0,5,11.6,good
2015-06-08,113,0.0,1,15.9,good
2015-06-11,113,0.0,1,15.9,good
2015-08-18,113,0.0,5,11.6,good
2015-08-05,113,0.0,5,14.5,good
2015-09-10,113,0.0,1,11.6,good
2015-05-27,113,0.0,1,14.5,good
2015-08-30,200,0.0,5,11.6,good
2015-07-22,113,0.0,1,14.5,good
2015-07-23,113,0.0,1,14.5,good
2015-08-29,113,0.0,6,11.6,good
2015-07-25,113,0.0,1,14.5,good
2015-08-08,116,0.0,5,14.5,good
2015-07-29,113,0.0,1,14.5,good
2015-07-30,113,0.0,1,14.5,good
2015-08-07,116,0.0,5,14.5,good
2015-07-31,116,0.0,1,12.4,good
2015-08-01,113,0.0,5,13.5,good
2015-08-02,113,0.0,6,14.5,good
2015-08-28,116,0.0,4,11.6,good
2015-08-04,116,0.0,4,14.5,good
2015-07-18,116,0.0,1,14.5,good
2015-09-01,116,0.0,5,9.1,good
2015-09-02,119,0.0,4,10.3,good
2015-09-03,116,0.0,1,11.6,good
2015-06-27,113,0.0,1,15.9,good
2015-06-28,113,0.0,1,15.9,good
2015-06-29,113,0.0,1,15.9,good
2015-06-30,113,0.0,1,15.9,good
2015-07-01,113,0.0,1,15.9,good
2015-09-09,116,0.0,1,11.6,good
2015-09-08,113,0.0,1,11.6,good
2015-08-15,113,0.0,4,11.6,good
2015-08-12,200,0.0,5,14.5,good
2015-07-05,113,0.0,1,15.6,good
2015-07-06,113,0.0,1,15.9,good
2015-07-09,113,0.0,1,15.8,good
2015-07-10,113,0.0,1,15.8,good
2015-07-11,113,0.0,1,15.8,good
2015-08-09,113,0.0,6,13.4,good
2015-09-07,113,0.0,1,11.6,good
2015-09-29,113,0.0,1,11.5,good
2015-08-23,116,0.0,4,11.6,good
2015-05-24,116,0.0,1,14.5,good
2015-04-22,116,0.0,1,11.6,good
2015-04-21,113,0.0,1,11.6,good
2015-04-20,119,0.0,1,9.3,good
2015-10-26,116,0.0,4,10.6,good
2015-10-02,113,0.0,4,11.4,good
2015-10-03,113,0.0,1,11.4,good
2015-04-12,113,0.0,1,11.6,good
2015-04-09,116,0.0,1,11.6,good
2015-04-08,113,0.0,1,11.6,good
2015-10-10,116,0.0,4,11.1,good
2015-10-11,113,0.0,3,11.1,good
2015-10-12,113,0.0,4,11.1,good
2015-05-25,119,0.0,1,11.5,good
2015-11-08,113,0.0,1,8.7,good
2015-11-07,116,0.0,1,8.7,good
2015-11-02,113,0.0,1,8.7,good
2015-11-01,113,0.0,1,8.7,good
2015-10-31,113,0.0,5,8.7,good
2015-04-23,113,0.0,1,11.6,good
2015-04-25,116,0.0,1,11.6,good
2015-10-30,113,0.0,5,8.7,good
2015-09-28,113,0.0,1,11.5,good
2015-05-22,113,0.0,1,14.5,good
2015-09-20,116,0.0,1,8.9,good
2015-09-30,113,0.0,1,11.5,good
2015-05-13,113,0.0,1,14.5,good
2015-09-23,113,0.0,1,11.6,good
2015-05-17,116,0.0,1,13.5,good
2015-05-09,113,0.0,1,14.5,good
2015-09-27,113,0.0,1,11.6,good
2015-09-26,113,0.0,1,11.6,good
2015-05-10,119,0.0,1,12.4,good
2015-12-27,122,0.0,1,5.1,not good not bad
2015-11-03,122,0.0,1,7.0,not good not bad
2015-11-04,122,0.0,1,5.4,not good not bad
2015-11-05,122,0.0,1,7.0,not good not bad
2015-12-26,113,0.0,1,8.7,not good not bad
2015-12-25,113,0.0,1,5.1,not good not bad
2015-11-09,113,0.0,1,7.0,not good not bad
2015-11-10,248,0.0,1,5.2,not good not bad
2015-12-23,116,0.0,1,8.7,not good not bad
2015-11-14,116,0.0,1,7.0,not good not bad
2015-11-15,113,0.0,1,8.7,not good not bad
2015-12-08,113,0.0,1,6.9,not good not bad
2015-12-21,122,0.0,1,6.9,not good not bad
2015-11-18,122,0.0,1,3.4,not good not bad
2015-12-02,116,0.0,1,6.9,not good not bad
2015-12-17,119,0.0,1,6.9,not good not bad
2015-12-11,116,0.0,1,8.7,not good not bad
2015-12-14,116,0.0,1,6.9,not good not bad
2015-12-06,119,0.0,1,5.1,not good not bad
2015-11-13,113,0.0,1,7.0,not good not bad
2015-12-07,113,0.0,1,8.7,not good not bad
2015-10-13,113,0.0,4,11.0,not good not bad
2015-10-27,113,0.0,4,5.4,not good not bad
2015-09-16,200,0.0,1,10.3,not good not bad
2015-09-14,116,0.0,1,11.6,not good not bad
2015-09-18,116,0.0,1,9.0,not good not bad
2015-09-19,116,0.0,1,9.0,not good not bad
2015-09-21,122,0.0,1,8.9,not good not bad
2015-09-22,113,0.0,1,11.6,not good not bad
2015-09-11,116,0.0,1,10.3,not good not bad
2015-09-25,116,0.0,1,10.2,not good not bad
2015-10-01,113,0.0,4,11.4,not good not bad
2015-10-04,122,0.0,1,10.1,not good not bad
2015-10-08,122,0.0,4,7.1,not good not bad
2015-09-06,116,0.0,1,9.1,not good not bad
2015-09-05,116,0.0,1,9.1,not good not bad
2015-10-14,122,0.0,3,7.0,not good not bad
2015-09-04,113,0.0,1,11.6,not good not bad
2015-10-16,119,0.0,3,7.0,not good not bad
2015-10-17,113,0.0,3,10.9,not good not bad
2015-10-18,116,0.0,4,10.9,not good not bad
2015-10-19,113,0.0,4,10.8,not good not bad
2015-08-31,353,0.0,6,7.9,not good not bad
2015-10-20,113,0.0,4,10.0,not good not bad
2015-10-21,122,0.0,4,6.9,not good not bad
2015-10-25,116,0.0,3,10.6,not good not bad
2015-07-02,113,0.0,1,14.7,not good not bad
2015-12-31,116,0.0,1,8.7,not good not bad
2015-08-22,200,0.0,6,11.6,not good not bad
2015-05-06,113,0.0,1,14.5,not good not bad
2015-05-05,113,0.0,1,13.4,not good not bad
2015-05-04,116,0.0,1,11.3,not good not bad
2015-04-29,116,0.0,1,12.4,not good not bad
2015-04-28,116,0.0,1,12.3,not good not bad
2015-04-27,113,0.0,1,14.5,not good not bad
2015-04-14,116,0.0,1,9.1,not good not bad
2015-04-13,116,0.0,1,10.4,not good not bad
2015-04-11,116,0.0,1,11.6,not good not bad
2015-04-07,113,0.0,1,11.6,not good not bad
2015-05-07,116,0.0,1,13.5,not good not bad
2015-04-06,113,0.0,1,11.6,not good not bad
2015-03-19,113,0.0,1,11.6,not good not bad
2015-03-16,116,0.0,1,8.8,not good not bad
2015-03-15,116,0.0,1,8.8,not good not bad
2015-03-14,116,0.0,1,8.8,not good not bad
2015-03-13,116,0.0,1,8.8,not good not bad
2015-03-11,119,0.0,1,8.7,not good not bad
2015-03-09,116,0.0,1,11.6,not good not bad
2015-08-24,113,0.0,4,9.3,not good not bad
2015-03-07,116,0.0,1,11.6,not good not bad
2015-03-06,116,0.0,1,11.2,not good not bad
2015-01-12,116,0.0,1,5.1,not good not bad
2015-01-08,113,0.0,1,5.1,not good not bad
2015-03-21,113,0.0,1,11.6,not good not bad
2015-05-12,116,0.0,1,12.4,not good not bad
2015-03-08,122,0.0,1,10.2,not good not bad
2015-05-15,116,0.0,1,13.5,not good not bad
2015-07-24,122,0.0,1,12.5,not good not bad
2015-07-21,116,0.0,1,13.5,not good not bad
2015-07-17,113,0.0,1,11.5,not good not bad
2015-07-14,113,0.0,1,11.6,not good not bad
2015-07-08,119,0.0,1,14.6,not good not bad
2015-07-07,116,0.0,1,14.6,not good not bad
2015-08-06,116,0.0,4,13.5,not good not bad
2015-12-30,122,0.0,1,8.7,not good not bad
2015-07-12,113,0.0,1,15.8,not good not bad
2015-06-09,119,0.0,1,15.6,not good not bad
2015-05-20,113,0.0,1,13.5,not good not bad
2015-05-18,122,0.0,1,11.5,not good not bad
2015-05-26,119,0.0,1,11.5,not good not bad
2015-05-19,113,0.0,1,14.5,not good not bad
2015-06-01,119,0.0,1,13.5,not good not bad
2015-01-26,122,0.0,1,3.5,very bad
2015-01-27,122,0.0,1,4.8,very bad
2015-01-29,116,0.0,1,4.8,very bad
2015-12-05,122,0.0,1,5.1,very bad
2015-01-30,116,0.0,1,9.7,very bad
2015-02-01,113,0.0,1,9.8,very bad
2015-02-02,122,0.0,2,6.6,very bad
2015-02-03,122,0.0,1,4.9,very bad
2015-02-04,113,0.0,1,9.8,very bad
2015-11-28,122,0.0,1,5.1,very bad
2015-02-05,122,0.3,2,6.6,very bad
2015-02-06,113,0.0,2,9.9,very bad
2015-02-07,116,0.0,2,9.9,very bad
2015-11-24,122,0.0,1,3.4,very bad
2015-11-23,119,0.0,1,8.7,very bad
2015-01-31,113,0.0,1,9.7,very bad
2015-01-25,116,0.0,1,5.2,very bad
2015-12-28,116,0.0,1,6.9,very bad
2015-01-24,113,0.0,1,8.7,very bad
2015-01-06,143,0.0,1,3.3,very bad
2015-01-07,119,0.0,1,8.7,very bad
2015-01-11,116,0.0,1,8.7,very bad
2015-01-05,143,0.0,1,8.7,very bad
2015-01-16,113,0.0,1,5.1,very bad
2015-01-17,113,0.0,1,8.7,very bad
2015-12-20,119,0.0,1,6.9,very bad
2015-12-10,116,0.0,1,6.9,very bad
2015-01-18,122,0.0,1,3.4,very bad
2015-01-19,113,0.0,1,8.7,very bad
2015-01-20,119,0.0,1,3.4,very bad
2015-01-21,116,0.0,1,3.4,very bad
2015-01-22,113,0.0,1,8.7,very bad
2015-11-22,116,0.0,1,6.9,very bad
2015-12-13,116,0.0,1,3.3,very bad
2015-01-23,113,0.0,1,8.7,very bad
2015-12-18,119,0.0,1,6.9,very bad
2015-11-21,113,0.0,1,6.9,very bad
2015-02-17,113,0.0,2,10.2,very bad
2015-02-09,113,0.0,2,10.0,very bad
2015-04-05,113,0.0,1,11.6,very bad
2015-04-01,113,0.0,1,10.3,very bad
2015-03-27,122,0.0,1,7.7,very bad
2015-03-26,116,0.0,1,7.7,very bad
2015-03-25,113,0.0,1,10.2,very bad
2015-03-24,116,0.0,1,7.5,very bad
2015-10-15,113,0.0,3,8.5,very bad
2015-03-22,116,0.0,1,7.5,very bad
2015-03-20,122,0.0,1,6.0,very bad
2015-03-17,116,0.0,1,10.2,very bad
2015-03-12,119,0.0,1,10.2,very bad
2015-02-08,113,0.0,2,6.6,very bad
2015-03-05,119,0.0,1,10.1,very bad
2015-03-04,113,0.0,1,11.1,very bad
2015-01-01,113,0.0,1,6.9,very bad
2015-02-28,122,0.0,3,5.5,very bad
2015-02-10,113,0.0,2,10.0,very bad
2015-02-11,113,0.0,2,10.1,very bad
2015-02-12,122,0.0,3,10.0,very bad
2015-02-13,200,0.0,3,8.3,very bad
2015-02-15,116,0.0,1,10.2,very bad
2015-02-16,143,0.0,2,6.7,very bad
2015-03-03,113,0.0,1,7.1,very bad
2015-02-19,122,0.0,3,5.2,very bad
2015-02-18,113,0.0,2,10.3,very bad
2015-02-21,113,0.0,2,10.4,very bad
2015-02-22,122,0.0,3,6.8,very bad
2015-02-23,116,0.0,2,10.1,very bad
2015-02-24,116,0.0,3,10.9,very bad
2015-02-20,122,0.0,2,5.2,very bad
2015-07-04,113,0.0,1,15.9,very good
2015-07-15,113,0.0,1,14.5,very good
2015-08-03,113,0.0,6,14.5,very good
2015-08-21,113,0.0,6,11.6,very good
2015-07-03,122,0.0,1,15.9,very good
2015-06-26,113,0.0,1,15.9,very good
2015-06-05,113,0.0,1,14.5,very good
2015-07-16,113,0.0,1,14.5,very good
